address,price
"12000 W Fairview Ave, Boise, ID 83713","$1,470 - 2,745"
"600 W Front St, Boise, ID 83702","$1,295 - 2,250"
"250 E Myrtle St, Boise, ID 83702","$950 - 2,695"
"521 E 41st St, Garden City, ID 83714","$1,450 - 2,365"
"1618 S Loggers Pond Pl, Boise, ID 83706","$1,600 - 2,915"
"597 N Maple Grove Rd, Boise, ID 83704","$1,650 - 2,250"
"13450 W Baldcypress St, Boise, ID 83713","$1,395 - 2,409"
"7570 W State St, Boise, ID 83714","$1,460 - 3,775"
"2001 S Hudson Ave, Boise, ID 83705","$1,325 - 2,395"
"749 E Park Blvd, Boise, ID 83712","$1,499 - 4,618"
"2964 E Parkcenter Blvd, Boise, ID 83716","$1,696 - 2,844"
"9557 W State St, Boise, ID 83714","$1,595 - 1,995"
"6240 N Park Meadow Way, Boise, ID 83713","$1,345 - 2,115"
"5713 Garrett St, Boise, ID 83714","$1,200 - 1,440"
"512 W Grove St, Boise, ID 83702","$1,427 - 2,244"
"503-505 Ash St, Boise, ID 83702","$1,399 - 2,310"
"4141 W Nez Perce St, Boise, ID 83705",Call for Rent
"485 E 50th St, Boise, ID 83714","$1,375 - 2,025"
"8448 W Limelight St, Boise, ID 83714","$1,425 - 2,400"
"501 E Parkcenter Blvd, Boise, ID 83706","$1,585 - 2,065"
"173 E Mallard Dr, Boise, ID 83706","$1,550 - 2,000"
"4050 W Libby St, Boise, ID 83705",Call for Rent
"3960 S Federal Way, Boise, ID 83716","$1,950 - 2,100"
"10624 W Jewell Ln, Boise, ID 83713","$1,575 - 1,700"
"505 W Idaho St, Boise, ID 83702","$1,395 - 2,650"
"5140 Blazer Ln, Boise, ID 83705","$1,450"
"7501 W Florence Ln, Boise, ID 83704","$1,495 - 1,595"
"12167 W Overland Rd, Boise, ID 83709","$1,659 - 1,784"
"9130-9198 W Irving St, Boise, ID 83704","$1,495"
"8519 W Fairview Ave, Boise, ID 83704","$1,245 - 2,680"
"1019 W Main St, Boise, ID 83702","$1,265 - 1,335"
"3504 N Whistler Ln, Boise, ID 83703","$1,172 - 1,872"
"1461 S Gold King Way, Boise, ID 83709","$1,275 - 1,850"
"1105 N Liberty St, Boise, ID 83704","$1,265 - 1,630"
"1109 W Main St, BOISE, ID 83702","$1,400 - 1,950"
"8002 W Overland Rd, Boise, ID 83709","$1,095 - 1,295"
"3400 E River Valley St, Meridian, ID 83646","$1,630 - 3,500"
"2901 Robert Ln, Boise, ID 83705","$1,325 - 1,750"
"1713 S Curtis Rd, Boise, ID 83705","$1,750"
"3781 S Gekeler Ln, Boise, ID 83706",Call for Rent
"2607-2615 N Linda Vista Ln, Boise, ID 83704","$1,795 - 2,195"
"563 S Curtis Rd, Boise, ID 83705","$1,300 - 1,600"
"9101 W Lake Hazel Rd, Boise, ID 83709","$1,294 - 2,307"
"3110-3120 W Crescent Rim Dr, Boise, ID 83706","$1,750 - 2,540"
"989 Sherwood St, Boise, ID 83706",$685
"4800 Field St, Garden City, ID 83714","$1,995"
"2411 E Riverside Dr, Eagle, ID 83616","$1,407 - 3,413"
"3805 E Copper Point Dr, Meridian, ID 83642","$1,540 - 2,481"
"5445-5497 W Pierce Park Ln, Boise, ID 83714","$1,595 - 2,550"
"7353 N Lucy Rose Ln, Boise, ID 83714","$1,700 - 2,000"
"9000 W State St, Boise, ID 83714","$1,900 - 2,100"
"2375-2784 E Red Cedar Ln, Boise, ID 83716","$1,669 - 3,442"
"2401 S Apple St, Boise, ID 83706","$1,540 - 2,400"
"13626 W Baldcypress St, Boise, ID 83713","$1,504 - 2,132"
"5151 W Morris Hill Rd, Boise, ID 83706","$1,250 - 1,395"
"8255 W Limelight St, Boise, ID 83714","$1,440 - 2,170"
"760 N 30th St, Boise, ID 83702","$1,700"
"7865 W Ustick Rd, Boise, ID 83704","$1,250 - 1,875"
"3097 N Five Mile Rd, Boise, ID 83713","$1,225 - 1,499"
"4500 N Carlsbad Way, Boise, ID 83703","$1,995 - 2,095"
"412 S 3rd St, Boise, ID 83702","$1,236 - 2,268"
"406 S 4th St, Boise, ID 83702","$1,317 - 2,861"
"1201 S Bird St, Boise, ID 83709","$1,550 - 1,700"
"1721 W Idaho St, Boise, ID 83702","$1,460 - 2,100"
"950 Allumbaugh St, Boise, ID 83704","$1,425 - 1,615"
"333 S Elm Ave, Boise, ID 83712","$1,350 - 2,850"
"660-690 S Clearwater Ln, Boise, ID 83712","$1,395 - 1,550"
"1334 N Liberty St, Boise, ID 83704","$1,275 - 1,599"
"3304 N Lakeharbor Ln, Boise, ID 83703","$1,469 - 13,213"
"1677-1689 N Raymond St, Boise, ID 83704","$1,275 - 1,325"
"2810-2876 W Jefferson St, Boise, ID 83702","$1,225 - 1,800"
"8650 W Rifleman St, Boise, ID 83704","$1,250 - 1,510"
