address,price
"649 US Highway 206, Hillsborough, NJ 08844","$2,550 - 3,050"
"59 2nd Ave, Raritan, NJ 08869","$2,400 - 3,300"
"1 Schindler Ct, Hillsborough, NJ 08844","$2,131 - 4,100"
"6 Woodruff Blvd, Hillsborough, NJ 08844","$2,245 - 3,375"
"925 US 202, Raritan, NJ 08869","$2,795 - 4,825"
"110 S Bridge St, Somerville, NJ 08876","$2,825"
"22 Robeson St, Somerville, NJ 08876","$2,240 - 4,125"
"152 S Bridge St, Somerville, NJ 08876","$1,800 - 2,400"
"21 Davenport St, Somerville, NJ 08876","$1,950 - 3,540"
"150 S Bridge St, Somerville, NJ 08876","$1,695 - 2,400"
"2300 Camplain Rd, Hillsborough, NJ 08844",Call for Rent
"65 Gateway Blvd, Hillsborough, NJ 08844","$2,245 - 3,545"
"779 Eves Dr, Hillsborough, NJ 08844","$1,650 - 1,700"
"45 Farm Rd, Hillsborough, NJ 08844","$1,820 - 2,530"
"22 Scarborough Rd, Belle Mead, NJ 08502","$2,395 - 2,945"
"100 River Park Dr, Raritan, NJ 08869","$2,205 - 3,946"
"70 Veterans Memorial Dr E, Somerville, NJ 08876","$1,850 - 3,350"
"200 Parcview Pl, Somerville, NJ 08876","$2,200 - 2,900"
"44 Veterans Memorial Dr E, Somerville, NJ 08876","$2,000 - 3,750"
"11 New St, Somerville, NJ 08876","$1,800 - 2,450"
"5 Bloomingdale Dr, Hillsborough, NJ 08844","$1,630 - 1,650"
"125 W Main St, Somerville, NJ 08876","$2,486 - 5,044"
"373-375 E Main St, Somerville, NJ 08876","$1,850"
"1000 Cornerstone Dr, Branchburg, NJ 08876","$1,210 - 1,755"
"1 Durling Way, Hillsborough, NJ 08844","$1,675 - 2,050"
"215-235 E Main St, Somerville, NJ 08876","$1,545 - 1,650"
"350 E Main St, Somerville, NJ 08876","$900 - 1,300"
"269 N 1st Ave, Manville, NJ 08835","$1,799 - 2,175"
"270 N 1st Ave, Manville, NJ 08835","$1,875"
"710 W Camplain Rd, Manville, NJ 08835","$1,700"
"1301 W Camplain Rd Unit 2nd Floor Manville, NJ 08835","$1,750"
"84 Norton Rd Hillsborough, NJ 08844","$4,995 /mo"
"84 Norton Rd Hillsborough, NJ 08844","$4,995 /mo"
"2812 Kent Pl  Hillsborough Township, NJ 08844","$3,000"
"64 W Main St Unit 303 Somerville, NJ 08876","$1,975"
"31 Frelinghuysen Ave  Raritan, NJ 08869","$1,900"
"190 Oak St Bridgewater, NJ 08807","$3,600 /mo"
"26 2nd Ave Raritan, NJ 08869","$2,200 /mo"
"1 Robeson St Unit 1 Somerville, NJ 08876","$3,100"
"136 S 7th Ave Manville, NJ 08835","$2,100 /mo"
"2 Boice Ln Montgomery, NJ 08502","$4,750 /mo"
"10 Shepherd St  Franklin Township, NJ 08873","$2,754"
"226 Wildflower Ln  Hillsborough Township, NJ 08844","$2,600"
"71 Thompson St  Raritan, NJ 08869","$2,950"
"2812 Kent Pl  Hillsborough Township, NJ 08844","$3,000"
"155 S 7th Ave Manville, NJ 08835","$1,300 /mo"
