address,price
"555 W 38th St, New York, NY 10018","$3,658 - 8,461"
"8 Spruce St, New York, NY 10038","$4,392 - 25,000"
"100 W 31st St, New York, NY 10001","$5,085 - 7,360"
"315 W 57th St, New York, NY 10019","$3,550 - 6,900"
"70 W 45th St, New York, NY 10036","$4,295 - 8,553"
"10 Hanover Sq, New York, NY 10005","$3,494 - 5,516"
"30 Waterside Plz, New York, NY 10010","$3,215 - 10,698"
"354 E 91st St, New York, NY 10128","$3,095 - 7,995"
"20 Broad St, New York, NY 10005","$3,204 - 7,710"
"95 Wall St, New York, NY 10005","$3,398 - 4,360"
"625 W 57th St, New York, NY 10019","$3,995 - 9,995"
"600 W 58th St, New York, NY 10019","$7,800"
"235 W 48th St, New York, NY 10036","$3,725 - 9,895"
"180 Water St, New York, NY 10038","$3,071 - 7,150"
"63 Wall St, New York, NY 10005","$3,137 - 6,301"
"401 E 34th St, New York, NY 10016","$3,296 - 8,147"
"601 W 57th St, New York, NY 10019","$3,500 - 5,950"
"158 E 126th St, New York, NY 10035","$2,769 - 5,650"
"560-562 W 174th St, New York, NY 10033","$2,350 - 3,650"
"535-537 W 162nd St, New York, NY 10032","$500 - 4,500"
"305-315 E 86th St, New York, NY 10028","$3,690 - 7,810"
"15 W 55th St, New York, NY 10019","$4,885 - 7,607"
"222 E 34th St, New York, NY 10016","$3,950 - 9,250"
"110 Wall St, New York, NY 10005","$3,231 - 8,177"
"224 W 124th St, New York, NY 10027","$3,499 - 9,299"
"150 E 34th St, New York, NY 10016","$3,195 - 5,095"
"New York, NY 10034","$2,400 - 2,700"
"140 Riverside Blvd, Manhattan, NY 10069","$3,800 - 7,995"
"101 W End Ave, Manhattan, NY 10023","$2,979 - 6,929"
"160 Riverside Blvd, Manhattan, NY 10069",Call for Rent
"546 W 44th St, New York, NY 10036","$3,995 - 6,875"
"160 E 48th St, New York, NY 10017","$4,808 - 7,312"
"784-792 Columbus Ave, New York, NY 10025","$2,650 - 8,067"
"510 West End Ave, New York, NY 10024","$4,200 - 5,200"
