address,price
"23555 N Desert Peak Pky, Phoenix, AZ 85024","$1,873 - 5,951"
"222 E Jefferson St, Phoenix, AZ 85004","$1,909 - 4,760"
"31 E Thomas Rd, Phoenix, AZ 85012","$1,629 - 3,091"
"330 E Roosevelt St, Phoenix, AZ 85004","$1,605 - 4,839"
"400 E Earll Dr, Phoenix, AZ 85012","$1,618 - 4,063"
"188 E Jefferson St, Phoenix, AZ 85004","$1,660 - 4,373"
"5151 N 16th St, Phoenix, AZ 85016","$1,534 - 2,557"
"24100 N 19th Ave, Phoenix, AZ 85085","$1,697 - 3,544"
"31113 N North Valley Pky, Phoenix, AZ 85085","$1,401 - 2,398"
"3400 E Southern Ave, Phoenix, AZ 85040","$1,608 - 2,325"
"909 E Camelback Rd, Phoenix, AZ 85014","$1,440 - 2,252"
"26800 N 27th Ave, Phoenix, AZ 85085","$1,365 - 2,235"
"1814 E Bell Rd, Phoenix, AZ 85022","$1,450 - 1,805"
"24250 N 23rd Ave, Phoenix, AZ 85085","$1,495 - 3,375"
"555 N 5th Ave, Phoenix, AZ 85003","$1,580 - 4,480"
"4411 E Chandler Blvd, Phoenix, AZ 85048","$1,474 - 1,914"
"5151 E Guadalupe Rd, Phoenix, AZ 85044","$1,617 - 2,506"
"20244 N 31st Ave, Phoenix, AZ 85027","$1,290 - 1,816"
"2220 E Beardsley Rd, Phoenix, AZ 85024","$1,193 - 3,534"
"3010 W Yorkshire Dr, Phoenix, AZ 85027","$1,239 - 2,104"
"2323 E Highland Ave, Phoenix, AZ 85016","$1,266 - 2,565"
"200 W Monroe St, Phoenix, AZ 85003","$1,285 - 2,670"
"2220 W Mission Ln, Phoenix, AZ 85021","$1,362 - 5,685"
"355 N Central Ave, Phoenix, AZ 85004","$1,400 - 2,295"
"7115 E McDowell Rd, Scottsdale, AZ 85257","$1,875 - 4,199"
"6400 E McDowell Rd, Scottsdale, AZ 85257","$1,725 - 4,133"
"15509 N Scottsdale Rd, Scottsdale, AZ 85254","$1,718 - 2,553"
"2040-2060 N Scottsdale Rd, Scottsdale, AZ 85257","$1,707 - 3,918"
"1250 W Grove Pky, Tempe, AZ 85283","$1,260 - 3,059"
"4848 N Goldwater Blvd, Scottsdale, AZ 85251","$1,775 - 3,407"
"5315 E High St, Phoenix, AZ 85054","$1,890 - 2,580"
"33500 N North Valley Pky, Phoenix, AZ 85085","$1,710 - 3,610"
"18220 N 68th St, Phoenix, AZ 85054","$2,019 - 7,159"
"13601 S 44th St, Phoenix, AZ 85044","$1,585 - 3,469"
