address,price
"2808 Calder Ave NE, Redmond, WA 98052","$2,114 - 4,230"
"12540 120th Ave NE, Kirkland, WA 98034","$1,966 - 4,604"
"16325 Cleveland St, Redmond, WA 98052","$2,438 - 5,513"
"15850 NE 98th Way, Redmond, WA 98052","$3,449 - 4,992"
"16450 Redmond Way, Redmond, WA 98052","$2,375 - 8,106"
"17620 NE 69th Ct, Redmond, WA 98052","$2,040 - 3,640"
"7405 168th Ave NE, Redmond, WA 98052","$2,093 - 6,549"
"14820 Redmond Way, Redmond, WA 98052","$2,513 - 2,620"
"11305 183rd Pl, Redmond, WA 98052","$1,980 - 3,715"
"15606 NE 40th St, Redmond, WA 98052","$2,076 - 3,704"
"15808 Bear Creek Pky, Redmond, WA 98052","$1,735 - 4,265"
"2690 152nd Ave NE, Redmond, WA 98052","$1,865 - 3,810"
"8935 160th Ave NE, Redmond, WA 98052","$1,950 - 3,075"
"15301 NE Turing St, Redmond, WA 98052","$1,950 - 3,524"
"15350 Bel-Red Rd, Redmond, WA 98052","$1,915 - 7,420"
"2651 156th Ave NE, Redmond, WA 98052","$1,825 - 3,650"
"16405 NE 95th St, Redmond, WA 98052","$2,150 - 2,250"
"7601 159th Pl NE, Redmond, WA 98052","$1,830 - 3,015"
"17771 NE 90th St, Redmond, WA 98052","$2,055 - 3,755"
"15551 NE Turing St, Redmond, WA 98052","$1,760 - 9,792"
"8300 160th Ave NE, Redmond, WA 98052","$2,306 - 3,419"
"12670 120th Ave NE, Kirkland, WA 98034","$2,685 - 4,500"
"14629 NE 37th Pl, Bellevue, WA 98007","$2,155 - 9,790"
"885 154th Pl NE, Bellevue, WA 98007","$2,302 - 5,956"
"11415 NE Slater Ave, Kirkland, WA 98033","$1,700 - 3,049"
"12821 126th Way NE, Kirkland, WA 98034","$1,710 - 2,185"
"8397 158th Ave NE, Redmond, WA 98052","$2,125 - 3,990"
"16590 NE 83rd St, Redmond, WA 98052","$1,765 - 3,695"
"8356 165th Ave NE, Redmond, WA 98052","$1,595 - 3,195"
"15400 NE 20th St, Bellevue, WA 98007","$1,845 - 3,292"
"13215 NE 123rd St, Kirkland, WA 98034","$1,855 - 2,875"
"6335 180th Pl NE, Redmond, WA 98052","$1,745 - 6,915"
"6180 E Lake Sammamish Pky NE, Redmond, WA 98052","$2,211 - 3,298"
"8020 161st Ave NE, Redmond, WA 98052","$1,992 - 4,200"
"16550 NE 79th St, Redmond, WA 98052","$2,025 - 2,850"
"8709 161st Ave NE, Redmond, WA 98052","$2,018 - 4,117"
"3040 148th Ave NE, Redmond, WA 98052","$1,860 - 4,195"
"16015 Cleveland St, Redmond, WA 98052","$1,750 - 3,347"
"15803 Bear Creek Pky, Redmond, WA 98052","$1,710 - 3,235"
"2710 Tagore Ave, Redmond, WA 98052","$1,356 - 2,010"
"13120 NE 85th St, Kirkland, WA 98033","$1,960 - 4,420"
"12655 120th Ave NE, Kirkland, WA 98034","$1,910 - 3,769"
"13842 NE 8th St, Bellevue, WA 98005",Call for Rent
"14700 NE 35th St, Bellevue, WA 98007","$2,295 - 3,595"
"13831 NE 8th St, Bellevue, WA 98005","$1,795 - 2,265"
"8501 Willows Rd NE, Redmond, WA 98052","$2,400 - 3,100"
"7977 170th Ave NE, Redmond, WA 98052","$1,885 - 2,846"
"2170 Bel-Red Rd, Bellevue, WA 98052","$1,750 - 3,817"
"15881 NE 85th St, Redmond, WA 98052","$2,056 - 3,912"
"9200 Redmond-Woodinville Rd, Redmond, WA 98052","$2,120 - 3,695"
"7805 170th Pl NE, Redmond, WA 98052","$1,758 - 3,635"
"15325 Redmond Way, Redmond, WA 98052","$1,775"
"17634 NE Union Hill Rd, Redmond, WA 98052","$1,899 - 2,199"
"16180 NE 80th St, Redmond, WA 98052","$1,980 - 3,981"
"17525 NE 40th St, Redmond, WA 98052",Call for Rent
"6318 E Lake Sammamish Pky NE, Redmond, WA 98052","$2,145 - 4,405"
"7001 Old Redmond Rd, Redmond, WA 98052","$1,944 - 2,718"
"7910 170th Pl, Redmond, WA 98052","$1,837 - 2,190"
