address,price
"2005 Rivercrest Dr, Twin Falls, ID 83301","$1,064 - 3,624"
"160 Main Ave S, Twin Falls, ID 83301","$1,075 - 1,540"
"122 W Falls Ave W, Twin Falls, ID 83301","$425 - 1,440"
"210 Carriage Ln N, Twin Falls, ID 83301","$1,775"
"1854 Elizabeth Blvd, Twin Falls, ID 83301","$1,525 - 1,685"
"1046 Warrior St, Twin Falls, ID 83301","$1,225 - 1,550"
"176 Maurice St N, Twin Falls, ID 83301","$1,050 - 1,225"
"1450 Creekside Way, Twin Falls, ID 83301","$1,250"
"1465 Field Stream Way, Twin Falls, ID 83301","$1,295 - 1,350"
"1878 Sigrid Ave, Twin Falls, ID 83301","$1,750 /mo"
"276 Adams St, Twin Falls, ID 83301","$1,250"
"359 2nd Ave N, Twin Falls, ID 83301","$1,300 /mo"
"2023 11th Ave E, Twin Falls, ID 83301","$1,400 /mo"
"292 Joellen Dr, Twin Falls, ID 83301","$1,850 /mo"
"696 Beta St Twin Falls, ID 83301","$1,600 /mo"
"1418 Field Stream Way Twin Falls, ID 83301","$2,000 /mo"
"1266 Locust St N Twin Falls, ID 83301","$1,300 /mo"
"421 2nd Ave E Twin Falls, ID 83301",$850
"1201 10th Ave E Twin Falls, ID 83301","$1,600"
"1191 Cortes Loop Twin Falls, ID 83301","$2,000 /mo"
"2010 Carlis Cove Twin Falls, ID 83301","$1,650"
"120 Lincoln St Twin Falls, ID 83301","$2,300 /mo"
"1656 Valencia St Twin Falls, ID 83301","$1,799 /mo"
"199 Sidney St Twin Falls, ID 83301","$1,350 /mo"
"1285 Starlight Loop Twin Falls, ID 83301","$2,195 /mo"
"1533 Dana St Twin Falls, ID 83301","$1,600 /mo"
"332 3rd Ave E Twin Falls, ID 83301",$525 /mo
"1191 Cortes Lp Twin Falls, ID 83301","$2,000 /mo"
